time,open,high,low,close,Volume
1981-03-18,1.6227,1.6227,1.6227,1.6227,0
1981-03-19,1.6049,1.6049,1.6049,1.6049,0
1981-03-20,1.6129,1.6129,1.6129,1.6129,0
1981-03-23,1.6129,1.6129,1.6129,1.6129,0
1981-03-24,1.6209,1.6209,1.6209,1.6209,0
1981-03-25,1.6209,1.6209,1.6209,1.6209,0
1981-03-26,1.6209,1.6209,1.6209,1.6209,0
1981-03-27,1.6372,1.6372,1.6372,1.6372,0
1981-03-30,1.6372,1.6372,1.6372,1.6372,0
1981-03-31,1.6165,1.6165,1.6165,1.6165,0
1981-04-01,1.6337,1.6337,1.6337,1.6337,0
1981-04-02,1.6337,1.6337,1.6337,1.6337,0
1981-04-03,1.6418,1.6418,1.6418,1.6418,0
1981-04-06,1.65,1.65,1.65,1.65,0
1981-04-07,1.6599,1.6599,1.6599,1.6599,0
1981-04-08,1.6483,1.6483,1.6483,1.6483,0
1981-04-09,1.6483,1.6483,1.6483,1.6483,0
1981-04-10,1.6565,1.6565,1.6565,1.6565,0
1981-04-13,1.6565,1.6565,1.6565,1.6565,0
1981-04-14,1.6682,1.6682,1.6682,1.6682,0
1981-04-15,1.6682,1.6682,1.6682,1.6682,0
1981-04-16,1.6798,1.6798,1.6798,1.6798,0
1981-04-17,1.6798,1.6798,1.6798,1.6798,0
1981-04-20,1.6798,1.6798,1.6798,1.6798,0
1981-04-21,1.6798,1.6798,1.6798,1.6798,0
1981-04-22,1.6798,1.6798,1.6798,1.6798,0
1981-04-23,1.6798,1.6798,1.6798,1.6798,0
1981-04-24,1.6798,1.6798,1.6798,1.6798,0
1981-04-27,1.6798,1.6798,1.6798,1.6798,0
1981-04-28,1.6798,1.6798,1.6798,1.6798,0
1981-04-29,1.6798,1.6798,1.6798,1.6798,0
1981-04-30,1.6882,1.6882,1.6882,1.6882,0
1981-05-01,1.6882,1.6882,1.6882,1.6882,0
1981-05-04,1.6882,1.6882,1.6882,1.6882,0
1981-05-05,1.7085,1.7085,1.7085,1.7085,0
1981-05-06,1.717,1.717,1.717,1.717,0
1981-05-07,1.717,1.717,1.717,1.717,0
1981-05-08,1.717,1.717,1.717,1.717,0
1981-05-11,1.717,1.717,1.717,1.717,0
1981-05-12,1.7273,1.7273,1.7273,1.7273,0
1981-05-13,1.7273,1.7273,1.7273,1.7273,0
1981-05-14,1.7359,1.7359,1.7359,1.7359,0
1981-05-15,1.7359,1.7359,1.7359,1.7359,0
1981-05-18,1.7359,1.7359,1.7359,1.7359,0
1981-05-19,1.7359,1.7359,1.7359,1.7359,0
1981-05-20,1.7359,1.7359,1.7359,1.7359,0
1981-05-21,1.7272,1.7272,1.7272,1.7272,0
1981-05-22,1.7429,1.7429,1.7429,1.7429,0
1981-05-26,1.7392,1.7392,1.7392,1.7392,0
1981-05-27,1.748,1.748,1.748,1.748,0
1981-05-28,1.748,1.748,1.748,1.748,0
1981-05-29,1.748,1.748,1.748,1.748,0
1981-06-01,1.748,1.748,1.748,1.748,0
1981-06-02,1.7567,1.7567,1.7567,1.7567,0
1981-06-03,1.7567,1.7567,1.7567,1.7567,0
1981-06-04,1.7672,1.7672,1.7672,1.7672,0
1981-06-05,1.7813,1.7813,1.7813,1.7813,0
1981-06-08,1.7813,1.7813,1.7813,1.7813,0
1981-06-09,1.7813,1.7813,1.7813,1.7813,0
1981-06-10,1.7742,1.7742,1.7742,1.7742,0
1981-06-11,1.7813,1.7813,1.7813,1.7813,0
1981-06-12,1.7724,1.7724,1.7724,1.7724,0
1981-06-15,1.7512,1.7512,1.7512,1.7512,0
1981-06-16,1.7512,1.7512,1.7512,1.7512,0
1981-06-17,1.7512,1.7512,1.7512,1.7512,0
1981-06-18,1.7599,1.7599,1.7599,1.7599,0
1981-06-19,1.7599,1.7599,1.7599,1.7599,0
1981-06-22,1.7511,1.7511,1.7511,1.7511,0
1981-06-23,1.7511,1.7511,1.7511,1.7511,0
1981-06-24,1.7511,1.7511,1.7511,1.7511,0
1981-06-25,1.7511,1.7511,1.7511,1.7511,0
1981-06-26,1.7511,1.7511,1.7511,1.7511,0
1981-06-29,1.7511,1.7511,1.7511,1.7511,0
1981-06-30,1.7511,1.7511,1.7511,1.7511,0
1981-07-01,1.7511,1.7511,1.7511,1.7511,0
1981-07-02,1.7616,1.7616,1.7616,1.7616,0
1981-07-03,1.7616,1.7616,1.7616,1.7616,0
1981-07-06,1.7616,1.7616,1.7616,1.7616,0
1981-07-07,1.7686,1.7686,1.7686,1.7686,0
1981-07-08,1.7686,1.7686,1.7686,1.7686,0
1981-07-09,1.7686,1.7686,1.7686,1.7686,0
1981-07-10,1.7686,1.7686,1.7686,1.7686,0
1981-07-13,1.7598,1.7598,1.7598,1.7598,0
1981-07-14,1.751,1.751,1.751,1.751,0
1981-07-15,1.7598,1.7598,1.7598,1.7598,0
1981-07-16,1.751,1.751,1.751,1.751,0
1981-07-17,1.751,1.751,1.751,1.751,0
1981-07-20,1.7597,1.7597,1.7597,1.7597,0
1981-07-21,1.7667,1.7667,1.7667,1.7667,0
1981-07-22,1.7667,1.7667,1.7667,1.7667,0
1981-07-23,1.7667,1.7667,1.7667,1.7667,0
1981-07-24,1.7667,1.7667,1.7667,1.7667,0
1981-07-27,1.7667,1.7667,1.7667,1.7667,0
1981-07-28,1.7755,1.7755,1.7755,1.7755,0
1981-07-29,1.7755,1.7755,1.7755,1.7755,0
1981-07-30,1.7755,1.7755,1.7755,1.7755,0
1981-07-31,1.7845,1.7845,1.7845,1.7845,0
1981-08-03,1.7934,1.7934,1.7934,1.7934,0
1981-08-04,1.8113,1.8113,1.8113,1.8113,0
1981-08-05,1.8113,1.8113,1.8113,1.8113,0
1981-08-06,1.8041,1.8041,1.8041,1.8041,0
1981-08-07,1.8149,1.8149,1.8149,1.8149,0
1981-08-10,1.8367,1.8367,1.8367,1.8367,0
1981-08-11,1.8367,1.8367,1.8367,1.8367,0
1981-08-12,1.8092,1.8092,1.8092,1.8092,0
1981-08-13,1.8092,1.8092,1.8092,1.8092,0
1981-08-14,1.8218,1.8218,1.8218,1.8218,0
1981-08-17,1.8,1.8,1.8,1.8,0
1981-08-18,1.8,1.8,1.8,1.8,0
1981-08-19,1.791,1.791,1.791,1.791,0
1981-08-20,1.791,1.791,1.791,1.791,0
1981-08-21,1.773,1.773,1.773,1.773,0
1981-08-24,1.7872,1.7872,1.7872,1.7872,0
1981-08-25,1.7997,1.7997,1.7997,1.7997,0
1981-08-26,1.7853,1.7853,1.7853,1.7853,0
1981-08-27,1.7853,1.7853,1.7853,1.7853,0
1981-08-28,1.7727,1.7727,1.7727,1.7727,0
1981-08-31,1.7727,1.7727,1.7727,1.7727,0
1981-09-01,1.7815,1.7815,1.7815,1.7815,0
1981-09-02,1.7815,1.7815,1.7815,1.7815,0
1981-09-03,1.7673,1.7673,1.7673,1.7673,0
1981-09-04,1.7673,1.7673,1.7673,1.7673,0
1981-09-08,1.7673,1.7673,1.7673,1.7673,0
1981-09-09,1.7796,1.7796,1.7796,1.7796,0
1981-09-10,1.7686,1.7686,1.7686,1.7686,0
1981-09-11,1.7689,1.7689,1.7689,1.7689,0
1981-09-14,1.7565,1.7565,1.7565,1.7565,0
1981-09-15,1.7319,1.7319,1.7319,1.7319,0
1981-09-16,1.7319,1.7319,1.7319,1.7319,0
1981-09-17,1.7233,1.7233,1.7233,1.7233,0
1981-09-18,1.7233,1.7233,1.7233,1.7233,0
1981-09-21,1.7233,1.7233,1.7233,1.7233,0
1981-09-22,1.7181,1.7181,1.7181,1.7181,0
1981-09-23,1.7404,1.7404,1.7404,1.7404,0
1981-09-24,1.7492,1.7492,1.7492,1.7492,0
1981-09-25,1.7579,1.7579,1.7579,1.7579,0
1981-09-28,1.7667,1.7667,1.7667,1.7667,0
1981-09-29,1.7614,1.7614,1.7614,1.7614,0
1981-09-30,1.7719,1.7719,1.7719,1.7719,0
1981-10-01,1.7719,1.7719,1.7719,1.7719,0
1981-10-02,1.7719,1.7719,1.7719,1.7719,0
1981-10-05,1.7525,1.7525,1.7525,1.7525,0
1981-10-06,1.7525,1.7525,1.7525,1.7525,0
1981-10-07,1.7507,1.7507,1.7507,1.7507,0
1981-10-08,1.7366,1.7366,1.7366,1.7366,0
1981-10-09,1.7297,1.7297,1.7297,1.7297,0
1981-10-13,1.7297,1.7297,1.7297,1.7297,0
1981-10-14,1.7383,1.7383,1.7383,1.7383,0
1981-10-15,1.7383,1.7383,1.7383,1.7383,0
1981-10-16,1.7506,1.7506,1.7506,1.7506,0
1981-10-19,1.7505,1.7505,1.7505,1.7505,0
1981-10-20,1.7505,1.7505,1.7505,1.7505,0
1981-10-21,1.7575,1.7575,1.7575,1.7575,0
1981-10-22,1.768,1.768,1.768,1.768,0
1981-10-23,1.768,1.768,1.768,1.768,0
1981-10-26,1.768,1.768,1.768,1.768,0
1981-10-27,1.7857,1.7857,1.7857,1.7857,0
1981-10-28,1.7857,1.7857,1.7857,1.7857,0
1981-10-29,1.7857,1.7857,1.7857,1.7857,0
1981-10-30,1.7678,1.7678,1.7678,1.7678,0
1981-11-02,1.7502,1.7502,1.7502,1.7502,0
1981-11-04,1.7502,1.7502,1.7502,1.7502,0
1981-11-05,1.7502,1.7502,1.7502,1.7502,0
1981-11-06,1.7502,1.7502,1.7502,1.7502,0
1981-11-09,1.7414,1.7414,1.7414,1.7414,0
1981-11-10,1.7414,1.7414,1.7414,1.7414,0
1981-11-12,1.7484,1.7484,1.7484,1.7484,0
1981-11-13,1.7343,1.7343,1.7343,1.7343,0
1981-11-16,1.7343,1.7343,1.7343,1.7343,0
1981-11-17,1.743,1.743,1.743,1.743,0
1981-11-18,1.743,1.743,1.743,1.743,0
1981-11-19,1.7326,1.7326,1.7326,1.7326,0
1981-11-20,1.743,1.743,1.743,1.743,0
1981-11-23,1.743,1.743,1.743,1.743,0
1981-11-24,1.743,1.743,1.743,1.743,0
1981-11-25,1.743,1.743,1.743,1.743,0
1981-11-27,1.7274,1.7274,1.7274,1.7274,0
1981-11-30,1.7171,1.7171,1.7171,1.7171,0
1981-12-01,1.7171,1.7171,1.7171,1.7171,0
1981-12-02,1.724,1.724,1.724,1.724,0
1981-12-03,1.724,1.724,1.724,1.724,0
1981-12-04,1.724,1.724,1.724,1.724,0
1981-12-07,1.724,1.724,1.724,1.724,0
1981-12-08,1.724,1.724,1.724,1.724,0
1981-12-09,1.736,1.736,1.736,1.736,0
1981-12-10,1.736,1.736,1.736,1.736,0
1981-12-11,1.736,1.736,1.736,1.736,0
1981-12-14,1.7517,1.7517,1.7517,1.7517,0
1981-12-15,1.7517,1.7517,1.7517,1.7517,0
1981-12-16,1.7429,1.7429,1.7429,1.7429,0
1981-12-17,1.7429,1.7429,1.7429,1.7429,0
1981-12-18,1.7429,1.7429,1.7429,1.7429,0
1981-12-21,1.7569,1.7569,1.7569,1.7569,0
1981-12-22,1.7569,1.7569,1.7569,1.7569,0
1981-12-23,1.7499,1.7499,1.7499,1.7499,0
1981-12-24,1.7499,1.7499,1.7499,1.7499,0
1981-12-28,1.7499,1.7499,1.7499,1.7499,0
1981-12-29,1.7499,1.7499,1.7499,1.7499,0
1981-12-30,1.7499,1.7499,1.7499,1.7499,0
1981-12-31,1.7499,1.7499,1.7499,1.7499,0
1982-01-04,1.7499,1.7499,1.7499,1.7499,0
1982-01-05,1.7393,1.7393,1.7393,1.7393,0
1982-01-06,1.7481,1.7481,1.7481,1.7481,0
1982-01-07,1.7481,1.7481,1.7481,1.7481,0
1982-01-08,1.7481,1.7481,1.7481,1.7481,0
1982-01-11,1.7481,1.7481,1.7481,1.7481,0
1982-01-12,1.7655,1.7655,1.7655,1.7655,0
1982-01-13,1.7655,1.7655,1.7655,1.7655,0
1982-01-14,1.7655,1.7655,1.7655,1.7655,0
1982-01-15,1.7761,1.7761,1.7761,1.7761,0
1982-01-18,1.7868,1.7868,1.7868,1.7868,0
1982-01-19,1.7796,1.7796,1.7796,1.7796,0
1982-01-20,1.7796,1.7796,1.7796,1.7796,0
1982-01-21,1.7796,1.7796,1.7796,1.7796,0
1982-01-22,1.7796,1.7796,1.7796,1.7796,0
1982-01-25,1.7904,1.7904,1.7904,1.7904,0
1982-01-26,1.7904,1.7904,1.7904,1.7904,0
1982-01-27,1.7904,1.7904,1.7904,1.7904,0
1982-01-28,1.7975,1.7975,1.7975,1.7975,0
1982-01-29,1.7975,1.7975,1.7975,1.7975,0
1982-02-01,1.7895,1.7895,1.7895,1.7895,0
1982-02-02,1.8083,1.8083,1.8083,1.8083,0
1982-02-03,1.8155,1.8155,1.8155,1.8155,0
1982-02-04,1.8155,1.8155,1.8155,1.8155,0
1982-02-05,1.8155,1.8155,1.8155,1.8155,0
1982-02-08,1.8155,1.8155,1.8155,1.8155,0
1982-02-09,1.8247,1.8247,1.8247,1.8247,0
